group,topic,description
Data,Data Availability Statement,"A Data Availability Statement is provided with detailed enough information such that an independent researcher can replicate the steps needed to access the original data, including any limitations and the expected monetary and time cost of data access."
,Raw data,"Raw data used in the research (primary data collected by the author and secondary data not otherwise available) is made publicly accessible. Exceptions are explained under Rule 1."
,Analysis data,"Analysis data is provided as part of the replication package unless they can be fully reproduced from accessible data within a reasonable time frame. Exceptions are explained under Rule 1."
,Format,"The data files are provided in any format compatible with commonly used statistical package or software. Some journals require data files in open, non-proprietary formats."
,Metadata,Description of variables and their allowed values are publicly accessible.
,Citation,All data used in the paper are cited.
Code,Data transformation,Programs used to create any final and analysis data sets from raw data are included.
,Analysis,"Programs producing the computational results (estimation, simulation, model solution, visualization) are included."
,Format,Code is provided in source format that can be directly interpreted or compiled by appropriate software. 
Supporting materials,Instruments,"If collecting original data through surveys or experiments, survey instruments or experiment instructions as well as details on subject selection are included."
,Ethics,"If applicable, details are shared about ethics approval."
,Pre-registration,"If applicable, pre-registration of the research is identified and cited."
,Documentation,"A README document is included, containing a Data Availability Statement, listing all software and hardware dependencies and requirements (including the expected run time), and explaining how to reproduce the research results. The README follows the schema provided by the [Social Science Data Editorsâ€™ template README](https://social-science-data-editors.github.io/template_README/)."
Sharing,Location,Data and programs are archived by the authors in the repositories deemed acceptable by the journal.
,License,A license specifies the terms of use of code and data in the replication package. The license allows for replication by researchers unconnected to the original parties.
,Omissions,The README clearly indicates any omission of the required parts of the package due to legal requirements or limitations or other approved agreements.
